,Emotion,Sentence
0,Other,"T mắc cười khúc đầu bếp chào xong cái ông Khoa hỏi ""bộ trc khi làm là mình phải chào z á hả a?"" ="")"
1,Enjoyment,Review về Dubai đi anh Khoa. Ai đồng ý xin 1 like cho anh Khoa thấy nào
2,Sadness,ăn không biết sao mà nhìn họ làm thấy ngon quá ! nhất định phải ghé thưởng thức !!!!!
3,Enjoyment,"Ăn ở VN cũng rất ngon, giúp xứ sở, dân mình có việc làm."
4,Surprise,Coi vd mà không ai khen anh đầu bếp vậy ta. Mình thấy cách anh ấy phục vụ nói chuyện cử chỉ hành động rất lịch sự và tôn trọng khách
5,Other,"Mình rất thích xem teppanyaki kiểu này , phong cách ẩm thực đc đẩy lên thành nghệ thuật của người Nhật Bản , họ qua tuyệt vời"
6,Other,"Lao động nghèo như mình k bk chừng nào ngặm dc cái xương bò cube đừng có nói chi là đến thịt thôi lấy bịch khô bò 10k ra gặm đở
22/04/2020 mùa dịch corona ai còn xem k"
7,Fear,Nhìn ổng review đồ ăn mà mình chỉ biết ngậm ngùi lấy cây xúc xích cuối cùng trong tủ lạnh ra ăn cho đỡ thèm thui... :)))
8,Other,Tội nghiệp chị cameraman mãi mê lo quay ko ăn dc đồ ăn nguội hết rùi!=))
9,Enjoyment,Nhìn anh ăn những món này mà nước dải  chảy dài xuống dường luôn 
10,Surprise,"lần này Khoa về Vn review đảm bảo được xem như ông Hoàng, không còn bị coi 2 lúa như trước nữa! 
Người vn vốn dĩ là thế, nhìn mặt bắt hình dong mà :)))"
11,Enjoyment,Thích xem review của chú Khoa ghê luôn ! Mong chú luôn mạnh khỏe và có thật nhiều vid hay <3
12,Enjoyment,"Nhà xịn đầu bếp phục vụ chu đáo 
Mình cho like"
13,Anger,Ngta trang trí đẹp thế mà ông gạt phát chấm nhoe nhoét ra luôn . 
14,Other,"Ko mặc áo là rớt tay,đọc xong nghĩ mới hiểu và cười,,,, à nghe câu mời anh chị lên lầu,còn quay ở VN tốt nhất cất tay đi,mấy đứa nó xem clip xong nó thấy nó chặn đường mượn tay thì toi"
15,Other,Vô nhà vệ sinh mà ổng kêu hấp dẫn :()
16,Sadness,Ông khoa gặp người bếp VN khoái lắm nói bù cho mấy bữa trước ổng chỉ biết ok
17,Enjoyment,"Rất thích anh, những video a review kiểu cách rất tự nhiên, gần gũi. Chúc anh nhiều sức khỏe và thành công!"
18,Other,Nhìn Khoa ăn mà thèm quá trời. Ực ực ực...
19,Other,"Đậu hủ nhảy múa  cười xĩu 
Anh khoa cute quá 
Càng ngày càng thích video của anh 
Fan a khoa điểm danh ️"
20,Other,"Khách hàng được phụ vụ như thượng đế!
Một câu xin phép... 2 câu xin phép!
Từ tiếp tân đến đầu bếp cung cách hơn 5*
Đầu bếp phục vụ tận răng!!!!!!
6*"
21,Enjoyment,Người đàng ông chịu ăn nhất việt nam     
22,Sadness,Nghe a đầu bếp nói dạ dạ thấy thương ghê
23,Enjoyment,Thoi lại dy nấu mì ăn thôi....
24,Enjoyment,Nhìn phong cách phục vụ của nhân viên và đầu bếp thật sự mình rất thích và nhất định sẽ đến để thưởng thức 
25,Disgust,đi nhật bản đi ai ý giống mình xin like
26,Other,Ổng vào nhà vệ sinh review và kêu hấp dẫn á mắc cười 
27,Other,"Tôi thấy tội Camera quá, đứng nhìn mãi dãi cả nước miếng
Cũng thấy anh đầu bếp đáng thương thật, khách thì lo quay Clip mà đầy bếp thì chỉ biết làm hài lòng khách
Xã hội vậy ư ?
Xem đồng tiền, đồ ăn trên cả nhân cách làm người ư?"
28,Enjoyment,"Nhà vệ sinh mà “nhìn hấp dẫn” 
Làm review món ăn phải làm như anh này nè mới đúng điệu sang chảnh. Làm YouTuber một năm gom góp chưa đủ vào ăn một bữa."
