Sentence,Emotion
"thích nhất cái khoản anh Khoa đi đâu cũng giới thiệu mình là người VIỆT NAM, tiền bo cũng bo nhiều, đánh bóng tên tuổi cho đất nước mình, quá ngưỡng mộ quá tự hào!",Enjoyment
Hay quá Khoa ơi nhiều người như Em sẽ làm người VN ra nước ngoài rất tự hào.,Enjoyment
Khuôn mặt thân thiện hiền lành vui vẽ. ..làm đại xứ cho người Việt nam ở nước ngoài thời này được..vì người  nước ngoài chỉ biết đến Việt Nam là đất nước chiến tranh và những người lính thiện chiến,Enjoyment
Những nhà hàng bên Ai Cập rất thích quay vì họ muốn quảng bá nhà hàng của họ đến mọi quốc gia về hương vị đồ ăn và thái độ phục vụ của nhân viên.,Enjoyment
Không biết diễn tả sao lun.. Mỗi khi a ra clip thấy vui vui sao ấy...,Enjoyment
"Chào Khoa, mỗi clip Khoa đăng lên Cô rất vui khi xem và cảm thấy tự hào những gì Khoa đã làm. Mến chúc Khoa luôn thành đạt",Enjoyment
"E bán quán HS bình dân nhưng ghẹ 3 con 1 kg ,mũ ni lớn , các loại hải sản khác chết là e để lôt thịt hoặc cho nhân viên ăn thôi ,e ngưỡng mộ bên nước ngoài lại bán duoc giá như vậy",Other
Số người mún ah Khoa cho xem mặt cameraman dựa vào đây ,Other
Mỗi lần xem là đói nên quyết định từ nay k xem khi đói nữa,Other
"""...đồ ăn Việt Nam vẫn là ngon nhất..."" ủng hộ câu nói này của Khoa Pug",Other
"Mình thích tư tưởng của bạn, đã đi nước ngoài phải có tinh thần xây dựng hình ảnh đẹp về người Việt, để họ ko nhầm lẫn VN với Trung Quốc, và có cách nhìn tích cực về ng Việt Nam. Cảm ơn Khoa",Enjoyment
"thật sự đến giờ vẫn chưa bỏ lỡ bất kì 1 tập nào trong series Ai Cập của anh, mà ko chỉ riêng sr này, mà tất cả các video khác khi có thông báo em đều bấm vào xem ngay. Thật sự rất quý anh và mong anh có thật nhiều sức khỏe để có thể làm thêm nhiều video mới. Theo dõi anh từ lúc 400k sup nay đã đc 1,6tr, đó thật sự là quãng đường dài, chúc anh luôn thành công !!  ",Other
Mình đem cơm không ra ăn cùng với Khoa cảm thấy ngon luôn kaka...,Other
Youtuber đầu tư nhất mà tôi từng biết <3,Other
Các đại gia VN thì mải miết làm ăn mải kiếm tiền.còn khoa thì cho tất cả các a em VN biết và hiểu thêm về các chuyến đi trong và ngoài nước mà nhiều người chưa có cơ hội đến thăm và thửởng thức các món ăn của các nước.rất cảm ơn khoa.khoa là 1 người đại diện cho VN.mong khoa có nhiều video hay để cho nhiều người được biết,Enjoyment
4:09 nghe cute xỉu ,Other
Nhìn anh ăn tôm hùm mà thèm quá. Đang làm giữa trưa vừa nóng vừa đói. :(((,Other
27:43 lườm ghê chưa haha,Disgust
16:11 viagara là tên 1 loại thuốc giúp cương dương nha anh bởi vậy anh kêu xong ông bồi mới cười cười vậy á,Enjoyment
"Có ai thấy cái ông mà nãy h phục vụ giới thiệu về giá cả của mấy con tôm cá  j á
Cái ông đó có nét giông giống MR BEAN nhỉ?",Other
Em video k sót giây nào . Video càng ngày càng cuốn mà em thích xem anh đi ăn nhất ấy ha ha . Anh chị giữ sức khoẻ nha để view cho mng nhìu cảnh đẹp,Enjoyment
4:09 trời ơi giọng chị caramen dễ thương quá ><,Surprise
"Khi Khoa đi du lịch cái mà Khoa đem theo nhiều nhất là tinh thần dân tộc Việt Nam.
Yêu kênh này lắm mãi theo dõi 2 bạn.",Other
Kết mỗi câu :” Hầu như mọi người trên thế giới đều biết đến Việt Nam qua chiến tranh với Mỹ “ ,Other
"Anh là youtuber chịu đầu tư làm nhất Việt Nam hihi ai thấy vậy,đi Ai Cập 1 tháng luôn dữ thiệt",Other
Anh review Viện Bảo Tàng Ai Cập đi a,Other
"Kết mấy câu: du yu nâu Việt nam,  how múc,  what do yu du.",Other
"Thích ông nhỏ này ,nói chuyện tự nhiên vãi 
Coi lip nào cũng cười ...",Enjoyment
Hahaa bộ Du lịch nên cân nhắc cho ông Khoa làm đại sứ Du lịch nha :)),Other
"4:00 ""tươi không"" dễ thương vậy ông",Other
"9:25
""Đẹp vãi, chắc thịt ngon lắm đây"" nghe mà thương em cá xinh xinh quá hà",Other
"Ai như mình kg ngày nào cũng hóng video của khoa  nghe nó nc và đi mà cứ tưởng tượng như mình đang đi và dc ăn ấy rất tự nhiên và vui, tối ngồi coi mà cười đau bụng .",Enjoyment
Khoa vip quá..ai thấy đúng like phát,Other
"Bay qua Dubai reveiw đi anh Khoa ơi.
Ai thấy hợp lí cho xin 1 like để a.Khoa thấy nào",Other
27:29 bà cameraman bả la theo nữa =)),Other
"4:00 nhìn anh khoa nói hài vãi "" tươi hông""",Other
Tự hào là người ViệtNam gê luôn ,Other
Trời ơi sang chảnh thế mà nó cho bát soup bị mẻ chứ,Surprise
Rất thích những clip của cháu tuổi trẻ tài cao thật tự hòa khi Việt Nam mình có người trẻ như cháu,Enjoyment
súp của ông khoa ăn để tráng dương cường lực =)))))) đưa cho caramen sao được =))),Other
Từ vụ khách sạn Aroma giờ fan ấy luôn .,Other
Em muốn đóng góp sub tiếng Anh để người nước ngoài biết thêm về travel blogger Khoa Pug. Đem văn hoá du lịch VN ra thế giới. Ko biết anh có cho phép ko ^^,Other
"hóa ra cameraman ko chỉ quay mà còn giúp chủ tịt chém tiếng anh





















tiện thể hỏi ai có giống mình ko mỗi lần có cái gì ăn như mì,nem chua,thịt xiên,... là bật clip khoa pug nên xem vì cảm giác như đang ăn thịt bò kube 
số người giống mình",Other
Cuối cùng đã xem được. Nghiện video a mất r. Hóng và hóng mãi thôi,Other
Sao k gọi mấy con trong bể cá cảnh ấy cho trầm trồ hả a ,Other
1:29 Khoái a chạy xe moto  rồi đấy . Ở VN 🇻🇳 mình thì hiếm lắm mới gặp tình trạng nhường đường như thế,Other
Con người Ai Cập sao mà lầy lội dữ dằng..,Other
"Nể Khoa thiệt lun , tui ko bik vì sao mà tui xem mấy cái clip kia ko có j hết mà sao xem mấy clip của ông anh này vui thế nhờ ?",Enjoyment
Thích quá sang nước ngoài luôn hướng về việt nam quý anh Khoa quá,Enjoyment
"Tôi thích xem youtube của bạn, vì bạn bình luận rất thực tế, có sao nói vậy, chúc bạn làm nhiều clip hay nha....nói thiệt, xem clip bạn vui mà thấy hơi tốn kém quá hihi",Enjoyment
Số người muốn Anh khoa đi học tiếnh Anh.  ,Other
"""Các bạn nhớ ăn gì trước khi xem video này"" bà mẹ cuối video mới cho vào thì ai kịp ăn trc mà xem",Other
Ăn xong chén súp tối hôm đó họa mi hót k ngừng làm cho cameraman khỏi ngủ luôn :v,Other
"mình dốt tiếng anh, nhưng mình không ngại nói, mình nói ngta hiểu thì hiểu không hiểu thì thôi. ahhah, nói chuẩn quá Khoa ơi, kết câu đó nhất",Other
Ai thấy ông phục vụ áo xanh zễ mến như t k thấy vui tính v,Enjoyment
"Hẳn là đu diu he me nú anh ơi. :)))))
Cứ ngồi đợi video của a không à.",Other
19:32 ý ông bồi bàn là ăn cái sup đó như kiểu rocket 1h ấy :)),Other
Tui nể ông Khoa ở chổ.dù đi đến đâu vẫn giữ thần thái cug như cai chất cua người Việt Nam.k học theo bất cứ phog cách cua đất nước nào,Other
Kênh này review du lịch rất REAL. T rất thích,Enjoyment
"Hello Đại gia khoa 
Chị là phan cứng của em nha ",Other
"E vừa đi học vừa bán vé số phụ giúp gia đình khó khăn, nay e tập làm vlog, mong kiếm thêm thu nhập trang trải cuộc sống, đóng tiền học phí cho năm học mới, mong đc sự ủng hộ của các bạn và a chị, e cảm ơn",Other
Đêm khuya xem video ăn uống của a mà muốn xỉu luôn:))),Other
10:45 ông mặc áo đen đội nón bên  góc trái nhìn tay ổng lm hành động j kìa mn,Other
"Phục ông thật, tiếng Anh thần chưởng, ráng học thuộc thêm vài câu dằn túi đi ông ơi!!!!!",Other
10:45 thang niên lần đầu thấy máy quay,Other
4:22 giọng caramen là vk anh khoa :))),Other
8:43 “bờ lắc bờ lắc bờ lắc “ ổng dễ thương quá chừng,Other
anh khoa sao k bo cho nó tiền việt ý nó giữ làm kỉ niệm lưu giữ vn hơn a ạ,Other
Ước mơ là được anh khoa dẫn đi vòng quanh thế giới,Other
Giờ này Khoa đang ở Nhật mà mình vẫn còn xem ở ai cập nè,Other
Anh oi anh có thể làm tour đi nhật được ko,Other
Cmt này không phải để chê cười anh hay ý gì xúc phạm anh cả. Anh nói tiếng anh theo kiểu thật thà nghe buồn cười lắm,Enjoyment
"Dọn đồ vậy hèn gì mẻ cái tô soup , rồi mẻ cái dĩa cá kìa...hì..hì..",Other
Có ai muốn anh khoa pug quay phim một lần để chị cameramen rề weu một lần không ta,Other
Giọng chị camera ngọt v :)),Other
Chú ơi chú làm clip cái gì cũng max nhất ở Dubai đi ạ,Other
Chơi tới như vậy họ phải nể người VN cảm ơn khoa nhiều lắm,Other
"Sau này Khoa học tiếng anh rồi, xem lại mấy clips nói tiếng anh của khoa chắc cười bể bụng. Công nhận ông nội này liều thiệt...",Enjoyment
Nhà k có điều kiện. Vừa ăn tôm kéo sợi. Vừa clip. Cơ mà hôm nay ăn tôm kéo sợi cảm giác ngon quá trời. ,Fear
Review thêm khách sạn 5* ở ai cập đi anh khoa,Other
Youtuber có lòng tự tôn dân tộc cao số 1.,Other
19:00 tên Công Phượng kia,Other
Cho cameraman ra mặt chung Clip đi A Khoa ơi ,Other
"Khoa mai mốt đi du lịch đem chai muối ớt xanh theo đi, dễ sử dụng ",Other
Được xem cho ăn uống cao cấp khoái lắm lun ! Good Job,Other
E thích xem video a rồi đí. Rất hay đúng du lịch và ẩm thực,Enjoyment
19:33 anh nhân viên cute vl. :3,Other
30:00 thật sự bạn đi ra nước ngòi ...,Other
5:15 nhìn thấy đồng hồ rolex của khoa wow,Surprise
Yêu cầu anh khoa phải đội nón có cờ việt nam hoặc áo có hình quốc kì việt nam ai chịu ko nào,Other
3:47 chu chu hân rẹt...ờ...bao...đis i rét? :))),Other
9:33 giống bà vanga quá v ,Other
"Sau khi xem video của anh, với vốn tiếng anh của mình, em đủ tự tin để đi du lịch rồi, chỉ thiếu mỗi tiền nữa thôi",Other
E thường thèm ăn vài ban đêm!! Mà cứ đêm là vào xem clip của anh!! Khó chịu lắm nhưng k thể tắt vì quá hấp dẫn!!!,Disgust
Bữa nào bạn qua dubai ghé nhà hàng thịt xông khói của thánh rắc muối Salt Bea sẽ nổi tiếng nhất vn luôn.,Other
Cứ xem video ăn uống của ổng lại bắt đầu lấy gói mì ra ăn đở đói:),Other
0:33-1:01 ông kia quành lại 2 lần để được lên tv :)),Other
"Ae ah, ae cho tui lên top để làm thông dịch viên cho Khoa được ko, cứ tới đoạn giao tiếp tui coi tui bị méo mỏ quài ức chế quá ",Anger
Có ai vừa coi video a Khoa vừa lướt comment như e ko ạ,Other
"Khoa P hay nói "" bà mẹ...."" rất vui  làm muốn xem hết video. Phát huy nha ",Enjoyment
