Sentence,Emotion
"mùa hè cuối cùng của thời học sinh . Từng con gió , từng tia nắng , những trận mưa có lẽ mọi thứ điều có  ý nghĩa với mình",Other
"năm nay thi tuyển sinh 10 - 1 kì thi qtrong nhất đời mình, sắp phải xa mái trường, xa bạn bè, xa thầy cô. Đây là lời nhắn của mình tới tương lai: mình mong thời gian sẽ chậm hơn 1 chút để gần nhau hơn, đc cười đùa với mấy đứa bạn, đc nghe thầy cô giảng bài hay những lần ""mắng"" của cô chủ nhiệm vì điểm thấp và lời khuyên sâu sắc của cô. Mong chúng ta đều vượt qua kì thi này một cách suôn sẻ, đạt đc nv của bản thân mình và thành công với con đường mình đã chọn. Lần cuối mình muốn gửi tới lớp là đừng quên nhau nhé!",Enjoyment
“Nếu có ước muốn trong cuộc đời này. Hãy nhớ ước muốn cho thời gian ở lại”,Other
"Đọc tiêu đề video mà tim nhói đau. Có hai mùa hè mà mình tiếc nuối nhất trong đời đó là mùa hè năm 10 tuổi và mùa hè năm 18 tuổi. 
Mùa hè 10 tuổi năm đó, mình phải rời xa thành phố mà mình yêu thương để chuyển đến ở 1 thành phố khác, bỏ lỡ tất thảy những điều tuyệt vời và phong cảnh xinh đẹp ở nơi đó. Để rồi sau này mình rất hối hận, cực kỳ hối hận vì đã chấp thuận theo sự chuyển đi đó. 

Mùa hè năm 18 tuổi, mình đã không mạnh mẽ thay đổi nguyện vọng, thay đổi quyết định của mình để được thi vào đh ở thành phố mình yêu thích, phó mặc số phận mình trong tay người khác như con rối. Để rồi nhận lại kết quả là giấy báo trúng tuyển từ 1 trường đại học mình ghét. Dùng 8 năm từ năm 10 tuổi đến 18 tuổi nhưng mình vẫn không thay đổi được gì, cảm giác thật nực cười đúng không? Cùng năm đó, mình hiểu thế nào là dư vị mùa hạ khi nhìn thấy nắng hè xuyên qua cửa sổ rọi lên những tờ luyện đề, hiểu như nào là tạm biệt khi tiết học cuối cùng phải học online, thầy giáo hay gắt gỏng mọi khi lại chờ lần lượt từng học sinh rời phòng rồi mới đóng lớp online, hiểu thế nào là đau đớn khi điểm giữa mình và ng khác chỉ cách nhau 0,1 và mình đã hiểu thế nào là chua xót ganh tị khi thấy từng người bạn thân đóng gói vali chuyển đến thành phố mình yêu thích để học đh, còn mình thì vẫn ở nơi đây phải học trường đh mà mình ghét. Đến tận giờ mình vẫn hối hận, mỗi đêm nhìn ra cửa số tối đen bên ngoài, mình lại nghĩ đáng ra mình phải được tận hưởng những phong cảnh đẹp nhất của đất nước mình, ánh đèn lung linh cùng sự hoa lệ của thành phố kia mà không phải cái sự tối đen kém cỏi của nơi này đang ở. Nước mắt hối hận rơi hàng đêm có rơi bao nhiêu cũng không đủ. 

Mùa hè năm đó, có nhiều sự chia ly và mất mát, tình cảm với bạn bè sau bao năm cũng chẳng còn được tốt như thuở đầu nữa. Vậy nên mình rất muốn nói với tất cả những bạn nhỏ còn chưa thi đh rằng, các em nhất định phải thật cố gắng và dũng cảm, đừng vì ng khác mà hãy để nguyện vọng em thích nhất phải ưu tiên số 1, thà chết vì kiệt sức chứ nhất định không được bỏ cuộc trước khi đến đích, hãy trân trọng từng giây phút này nhé vì đây là bước ngoặt lớn có thể thay đổi cuộc đời các em, vì không phải để bản thân hối hận, vì còn nhiều người chưa được gặp, vì còn nhiều ước mơ đang dang dở...",Enjoyment
"Gửi đến tôi mùa hè của một năm nữa - mùa hè cuối cùng của thời học sinh trong tôi. Sẽ là một mùa hè đáng nhớ, một mùa hè vừa buồn vừa vui, một mùa hè mà tôi đậu vào trường đại học mong muốn và một mùa hè chia ly với bạn bè. Dù có thế nào tôi vẫn sẽ hạnh phúc, những kỉ niệm của những người tuy xa lạ nhưng gọi nhau là bạn bè sẽ là hành trang to lớn để tôi mang vào đời, mang vào hành trình trưởng thành của tôi. Sau này tuy mùa hè lại đến nhưng trên gương mặt tôi sẽ là nụ cười ấm áp thay cho nụ cười ngây ngô, trong sáng của tuổi học trò, sẽ không còn tâm trạng háo hức mỗi khi vào hè mà thay vào đó là những nỗi niềm thổn thức, nhớ nhung về những kí ức đã cũ nhưng không già đi bởi sự tươi trẻ trong kí ức niên khiếu ấy sẽ sống mãi trong trái tim tôi, xin chào và tạm biệt những mùa hè bất tử.",Enjoyment
"Năm nay tui đã lên lớp 12, mong rằng sau này khi lớn lên tui sẽ nhìn lại mùa hè cuối cùng ấy mà bất giác mỉm cười và chẳng có điều gì phải hối tiếc. Mong rằng những ai đọc bình luận này sẽ luôn gặp may mắn và sống một đời an yên, hạnh phúc nhé!",Enjoyment
"""Mùa hè năm ấy, vì phải lòng ai đó mà bầu trời trở nên trong veo, lòng biết mong ngóng một giọng nói, một bóng lưng, một tiếng cười""
18/05_ Hè 2023",Enjoyment
"Chẳng mấy nữa thôi, tôi sẽ rời xa mái trường THPT Lê Trực, sẽ quên đi tình cảm ngây dại tuổi 17, sẽ rời xa quê nhà bước vào thành phố lớn. Nhưng những cảm xúc ấy, những kỷ niệm ấy, dường như đã đang và vẫn sẽ mãi ghim trong trái tim tôi. Tạm biệt tuổi 17 với những nhớ thương dại khờ...",Other
"Năm nay là năm cuối mình còn được ngồi trên ghế nhà trường , còn là học sinh và chỉ mấy tháng nữa thôi khi kì thi tốt nghiệp kết thúc , nhà trường sẽ mất đi một lứa học sinh cũ và lại đón thêm một lứa học sinh mới , lúc đấy mình đã trưởng thành rồi , phải tự đi xây dựng tương lai thôi . Và những gì mình đang có ở hiện tại sẽ trở thành kỉ niệm ở tương lai dù không biết tương lai mình sẽ ra sao nhưng mình sẽ tự hào rằng mình đã có một thanh xuân tươi đẹp và rực rỡ nhất .",Other
"Mình sẽ không bao giờ quên mùa hè năm 17 tuổi, mình có cậu - người bạn thân của mình. Có lẽ mình sắp không còn nhớ được giọng nói của cậu nữa rồi, có những câu chuyện bọn mình thủ thỉ cho nhau nghe và những ước mơ cùng lời hứa còn dang dở... Mùa hè vẫn sẽ còn mãi, nhưng không còn cậu ở bên cạnh nữa. Có lẽ những lời này sẽ không bao giờ đến được nơi cậu, nhưng mình mong rằng cậu sẽ hạnh phúc, từ tận đáy lòng mình, thật sự muốn nhìn thấy cậu hạnh phúc. Mình biết, con người đến rồi lại đi, chắc vì tụi mình còn quá nhiều điều chưa làm  cùng nhau nên mình cứ mãi để cậu trong lòng. Tụi mình cũng không thể quay lại thời gian đó nữa, cũng không còn cơ hội nhìn nhau mà nhẹ nhàng cười nói như trước. Chỉ mong sau này cuộc sống có thể dịu dàng với cậu, yêu thì nói yêu, ghét thì nói ghét, mong cậu có thể thoải mái giải bày lòng mình, làm điều cậu thích, sống 1 cuộc đời không hối tiếc. Biết ơn vì tuổi trẻ này từng có cậu xuất hiện! Cảm ơn và xin lỗi, người bạn thanh xuân của mình.",Enjoyment
