Sentence,Emotion
"Mình rất thích xem teppanyaki kiểu này , phong cách ẩm thực đc đẩy lên thành nghệ thuật của người Nhật Bản , họ qua tuyệt vời",Enjoyment
"T mắc cười khúc đầu bếp chào xong cái ông Khoa hỏi ""bộ trc khi làm là mình phải chào z á hả a?"" ="")",Enjoyment
ăn không biết sao mà nhìn họ làm thấy ngon quá ! nhất định phải ghé thưởng thức !!!!!,Other
"Ăn ở VN cũng rất ngon, giúp xứ sở, dân mình có việc làm.",Other
Coi vd mà không ai khen anh đầu bếp vậy ta. Mình thấy cách anh ấy phục vụ nói chuyện cử chỉ hành động rất lịch sự và tôn trọng khách,Other
Review về Dubai đi anh Khoa. Ai đồng ý xin 1 like cho anh Khoa thấy nào,Other
"Lao động nghèo như mình k bk chừng nào ngặm dc cái xương bò cube đừng có nói chi là đến thịt thôi lấy bịch khô bò 10k ra gặm đở
22/04/2020 mùa dịch corona ai còn xem k",Other
Nhìn ổng review đồ ăn mà mình chỉ biết ngậm ngùi lấy cây xúc xích cuối cùng trong tủ lạnh ra ăn cho đỡ thèm thui... :))),Other
Thích xem review của chú Khoa ghê luôn ! Mong chú luôn mạnh khỏe và có thật nhiều vid hay <3,Enjoyment
"Nhà xịn đầu bếp phục vụ chu đáo 
Mình cho like",Other
Tội nghiệp chị cameraman mãi mê lo quay ko ăn dc đồ ăn nguội hết rùi!=)),Other
"Rất thích anh, những video a review kiểu cách rất tự nhiên, gần gũi. Chúc anh nhiều sức khỏe và thành công!",Enjoyment
Nhìn anh ăn những món này mà nước dải  chảy dài xuống dường luôn ,Other
"Ko mặc áo là rớt tay,đọc xong nghĩ mới hiểu và cười,,,, à nghe câu mời anh chị lên lầu,còn quay ở VN tốt nhất cất tay đi,mấy đứa nó xem clip xong nó thấy nó chặn đường mượn tay thì toi",Enjoyment
"lần này Khoa về Vn review đảm bảo được xem như ông Hoàng, không còn bị coi 2 lúa như trước nữa! 
Người vn vốn dĩ là thế, nhìn mặt bắt hình dong mà :)))",Other
Vô nhà vệ sinh mà ổng kêu hấp dẫn :(),Other
Ngta trang trí đẹp thế mà ông gạt phát chấm nhoe nhoét ra luôn . ,Other
"Đậu hủ nhảy múa  cười xĩu 
Anh khoa cute quá 
Càng ngày càng thích video của anh 
Fan a khoa điểm danh ️",Enjoyment
"Cám ơn bạn đã làm những chương trình rất hâp dẫn cho những ai ko có điều kiện đi du lịch , xem kênh của bạn khám phá nhiều điều thú vị. Chúc bạn làm  nhiều chương trình hay hơn nữa  và thành công trong cuộc sống.",Enjoyment
Ông khoa gặp người bếp VN khoái lắm nói bù cho mấy bữa trước ổng chỉ biết ok,Accepting
Thoi lại dy nấu mì ăn thôi....,Other
Toi rat thich loi noi chuyen {teu }cua cau tre nay--mieng thit vut vao tuong chac se dinh} thay vi mieng thit {mong }nhu {la lua} Cilp nay vui qua,Enjoyment
đi nhật bản đi ai ý giống mình xin like,Other
Nhìn Khoa ăn mà thèm quá trời. Ực ực ực...,Other
Nhìn phong cách phục vụ của nhân viên và đầu bếp thật sự mình rất thích và nhất định sẽ đến để thưởng thức ,Enjoyment
Thích a review vì a ăn cái rụp r cảm nghĩ đơn giản còn bọn reviewer kia thì có 1 miếng nhỏ ăn tới ăn lui r nói tào lao,Enjoyment
"Khách hàng được phụ vụ như thượng đế!
Một câu xin phép... 2 câu xin phép!
Từ tiếp tân đến đầu bếp cung cách hơn 5*
Đầu bếp phục vụ tận răng!!!!!!
6*",Other
Nhìn ông đầu bếp kia.. Múa hai cái cào cào kia mà chóng hết cả mắt... Ha.. Ha.. Hay.. .,Enjoyment
"A đầu bếp trình diễn đẹp quá. Nói năng, phục vụ cũng rất lịch s, nhìn tay nghề ảnh cũng rất chuyên nghiệp nữa.",Other
Nghe a đầu bếp nói dạ dạ thấy thương ghê,Disgust
"Tôi thấy tội Camera quá, đứng nhìn mãi dãi cả nước miếng
Cũng thấy anh đầu bếp đáng thương thật, khách thì lo quay Clip mà đầy bếp thì chỉ biết làm hài lòng khách
Xã hội vậy ư ?
Xem đồng tiền, đồ ăn trên cả nhân cách làm người ư?",Other
Người đàng ông chịu ăn nhất việt nam     ,Other
Anh làm quay phim 1 ngày cho caramen review đi a ai đồng ý cho 1 ,Other
anh đầu bếp thân thiện ghê .,Disgust
43:10 ĐANG CHỊCH À :V,Other
"Nhà vệ sinh mà “nhìn hấp dẫn” 
Làm review món ăn phải làm như anh này nè mới đúng điệu sang chảnh. Làm YouTuber một năm gom góp chưa đủ vào ăn một bữa.",Other
Bạn khoa dễ thương lắm các bạn..mình rất thích xem..video..của a..a hiền lành..,Enjoyment
Mới đầu tưởng Khoa ăn hết gần 30tr chứ ,Other
Fan ruột của anh!,Other
Model ăn bò bây giờ phải dát vàng và rắc muối nhé Khoa ơi!,Other
Ổng vào nhà vệ sinh review và kêu hấp dẫn á mắc cười ,Enjoyment
"Ông này khoái review nhà vệ sinh kkk
Gặp toàn người Việt nên thik nhây hỏi nhiều 
Đọc cái dòng chữ Viétub mà cười sặc haha",Enjoyment
"Mình cũng từng ăn bò nhật rồi, quan trọng đầu tiên là giống bò, loại bò đặc biệt này có khả năng tích mỡ trong thịt...người ta cứ đồn bò kobe được massage, nghe nhạc , uống bia, chăm cực hơn bò thường ...thực ra đó chỉ là người ta tung tin để người ăn tưởng tượng nó sẽ thật là cao cấp...nhưng không...chẳng có thứ gì đẹp đẽ hết...nguyên lí để miếng thịt mềm rất đơn giản là chỉ cần mỡ nhiều là thịt mềm — toàn nạc sẽ dai hơn — mỡ bò tất nhiên nó sẽ thơm mà ko bị ngấy như mỡ lợn  — theo quan điểm của mình— bò nhiều mỡ là bò yếu - ít vận động nên cơ bắp của chúng không phát triển — như vậy có thể hiểu bò kobe là loại bò yếu nhất trong các loại bò—- mùa đông lạnh giá chân khớp nó sưng nên bắt buộc phải vỗ vào để máu lưu thông ,, họ cố tình nhốt nó vào cái chuồng bé tí để nó không đi lại được mục đích ép chúng không được vận động nhiều — sau đó kích thích chúng ăn thật nhiều ,, thức ăn cơ bản là cỏ và ngô..nhưng họ cho ăn gì khác chắc chắn đó là bí quyết  — như vậy đã có thể hiểu là ép chúng ko dc vận động nhưng ăn phải nhiều — trước khi giết thì masage cho sung sướng thuê giãn để chết trong êm ái để giữ độ ngon của thịt....như vậy những con bò  này về bản chất chúng bị sống ngược đãi hơn là sung sướng như mọi người tưởng đâu ạ, chúng bị con người thúc ép vào 1 công thức để cho ra một lợi thịt mềm — là một sinh vật nhưng bị nhốt chật hẹp ko cho vận động và ép ăn— như vậy thịt của chúng bị tích mỡ và sợi cơ bắp quá ít....các bạn cũng từng nghe gan ngỗng pháp rồi đúng không —- cực kì đắt như thịt bò nhật — và chúng cũng bị ép ăn để gan phát tướng lên và chết trong điên loạn — còn bò kobe chết trong một cơ thể yếu ớt nhưng ít ra cũng được massage trước khi chết — người nuôi sẽ ko nói thẳng ra vì như vậy người ăn sẽ không thấy thú vị nữa giảm hẳn thương hiệu....nó luôn bị bắt đứng im một chỗ nên sẽ bị cứng khớp để lâu có thể bị viêm và ko đứng dc nữa nên họ mới phải xoa khớp cho nó chứ không phải massage cho thịt mềm đâu ạ— còn thỉnh thoảng cho uống tí bia mục đích để kích thích nó ăn nhiều hơn thôi — bắt đứng một chỗ bố ai mà chịu dc — ăn thịt này mềm thơm là do mỡ bò chứ nó không bổ như thịt bò mình đâu — ăn bò mình thì mới có cơ bắp khoẻ hơn - con gì càng vận động nhiều thì cơ bắp nhiều dai thịt —- bò các nơi đều nuôi theo kiểu tự nhiên nên chúng ít mỡ lắm toàn nạc—— các bạn nuôi con gì cũng thế — nhốt kín trong 1 chỗ thật chật hẹp- ép ăn nhiều — bảo đảm lúc thịt nó sẽ béo mềm — còn massage - nghe nhạc là 1 cách giúp con vật ngoan ngoãn nằm im không bị phát điên mà thôi—- dù thế nào đi nữa giống bò nhật là quan trong ... cơ địa của nó cho phép mỡ Đan xen với lạc rất đẹp mắt — nhưng nhật nó không ngu mà bán giống thuần chủng sang nước  ngoài đâu— lai tạo thì đầy nhưng ko ngon",Enjoyment
"Thấy anh nhắc mới nhớ, hy vọng anh sẽ review món ""bò rắc thính"" của vua thịt bò ",Other
"Anh làm ""rì viu"" món mỳ kéo sợi đỉnh ký ở 311 bãi sậy, phường 8 quận 1 đi anh",Enjoyment
anh khoa thích ăn nhanh gọn lắm cái j mà nhanh thì anh càng thích  mà video chs  hẳn  1 tiếng luôn :)),Enjoyment
Đúng là món ăn sang chảnh khi nào có điều kiện làm YouTube làm hoành tráng như a Khoa,Other
"Chú đi review Salt Bae cận cảnh đi ạ,  mog chú ạ.....",Other
Nhân viên nhiệt tình và tận tình quá ,Other
Vừa ăn dĩa com 15k vừa coi anh Khoa ăn mà tưởng tượng cho đỡ thèm  :))),Other
Ăn gì thì ăn k bao giờ quên giới thiệu nhà vệ sinh. Cậu hài thế,Other
"Mấy cái biểu diễn như này đợi mãi mới có ăn, ăn theo kiểu phong cách cho hoành tráng thôi chứ đang đói mà ăn kiểu này chắc bắt tay vào làm với anh đầu bếp luôn.",Other
18:42 ông đầu bếp nói e xin giới thiệu vs anh chị... Caramen là nữ ko phải bàn nhá,Other
E đang làm ở quán này tại nhật tuần em ăn 3 miếng mỗi miếng 300g ,Other
Anh đầu bếp chuyên nghiệp quá,Other
đi các tỉnh thành khác đi a khoa,Other
muốn chính gốc là bay qua nhật vào trại mổ bò kobe rồi tự tay sẻ thịt mang về tự nấu thế là anh em hết cải nhau kkk,Other
Nam có lợi thế không phải chăm con cái như phụ nữ nên toàn tâm toàn ý cho nghề nghiệp.,Other
16:50 miếng bò v cho máy cắt dễ dàng mỏng mà đẹp,Other
qua thổ nhĩ kì review ông đó rắc muối đi ah khoa ơi **),Other
Thịt bò mền cho miệng dễ tan do thịt bò ngon thái lát mỏng và đúng thớ của nó nữa . cộng thêm nấu chín tới nên rất mềm . các bạn ở nhà cũng có thể làm . ngon ở nước chấm ấy,Other
Người ta làm youtober để kiếm tiền ..còn ông này kiếm tiền để làm youtobe,Other
"Qua ngon luon , thanks for your video ️️",Other
"Emthaaysbof vN mình ăn cỏ bt mà ngon nhất, em đã ăn qua rất nhiều loại bò rồi, chỉ thích bò VN mình nghèo nhưng ngon thơm số 1. Bò mỹ thì em k thích một chút nào, có mùi khó chịu lắm... ở vN ăn quen k thấy quý chứ đã đi nhiều nước, ăn nhiều loại bò thì vẫn k thể nào cảm thấy bò nào qua mặt đc bò mình... ý kiến riêng của em. Em thích nhất phần rìa gân gân mỡ mỡ của bò, nấu canh măng tươi băm vs lá lốt là tuyệt....nhớ cái vị đó ghê, mà fai về vn, ở miền trung mới tìm đúng hương vị. Anh khoa ơi, anh về miền trung ăn thử đồ ăn đi, nhẩt là Quảng ngãi đó, thử món nộm da bò , bún bò giò, ............ ram thịt nướng....",Enjoyment
Nhà vệ sinh hấp dẫn á kk cười ỉa vs ỗng ,Enjoyment
CAM ON KHOA CHIA SE QUA HAP DAN VA TUYET VOI !,Other
"Ho trang tri dep va ho la, mon an rat la cong phu vay e an tu tu thoi de thuong thuc .an nhanh qua em oi .an nhanh nhat la lam mon ca hoi ,dau hu ca mon so Diep ",Other
16:16 nhìn giống ảnh v,Other
Youtuber chịu chi nhất VN,Other
Quan sang Xin min nhung k co dau bep Nhat co nhiu Quan o Viet Nam bay Gui la co ca mot top Thanh nien Nguoi Viet nhu bv ho noi hoan toan tieng Nhat lam Theo dung chuan Nguoi Nhat vi an mon cua ho ma Chuc khoa Pup that nhi u Suc khoe de rew iu nhiu cho hay cho moi Nguoi xem nhe ️️️️,Enjoyment
Nhìn ổng giống Tuân Trẻ Trâu ông biểu diễn á ,Other
a nên quay phụ caramen.để chụy ấy còn dùng nữa..nguội mất ngon,Other
"do năm nay a ít ra video quá , lên cày lại từ những video đầu xem cho sướng .",Other
Nhìn anh ăn mà em muốn rắt bò nhà em ra lò mổ quá,Other
Ông khoa này dành cả tuổi thanh xuân để ăn và ănKhông biết chừng nào camera man thành thùng phi vì theo ông khoa nhỉ.,Other
Tối nào em cũng ăn mì tôm xem video của a ,Other
ANH ĐẦU BẾP CHẮC LÚC TRC MÚA QUẠT KINH LẮM,Disgust
Chảy nước miếng mẹ rồi :3,Other
Ở VN chỉ có a khoa Lam video.di ăn cho sang chanh.va đi nhưng noi đẹp cả nổi tiếng.ma người VN chưa từng ăn và chưa từng đi tới.trieu like,Other
